Tenure,MonthlyCharge,Bandwidth_GB_Year,Outage_sec_perweek,Yearly_equip_failure,Age,Income,Email,Contacts,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Gender_Male,Gender_Nonbinary,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Contract_One year,Contract_Two Year,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,InternetService_Fiber Optic,TechSupport_Yes,StreamingTV_Yes,PaperlessBilling_Yes,Techie_Yes,Area_Suburban,Area_Urban
4.380312,232.6228,1046.538825,10.86587,0.0,30.0,24813.82,19.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False
39.96229935621757,235.88074910359703,4269.726884942622,6.191457361081319,0.9259250927895524,86.59257676300149,3909.636029918413,10.148149814420895,1.8518501855791043,3.0,2.074074907210448,3.0,2.8518501855791047,2.2222247216313438,2.9259250927895524,1.0740749072104476,2.074074907210448,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,True
54.47785,129.9621,5171.93181,9.696417,0.0,87.0,19461.01,6.0,0.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,5.0,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
58.200919790163496,254.9848110741437,5849.179046533429,12.153136204806325,0.995421512925456,74.89927328436004,29617.6326728138,12.96337210340365,0.0045784870745438,4.981686051701825,3.990843025850912,3.986264538776368,3.995421512925456,4.004578487074544,4.986264538776368,4.986264538776368,4.004578487074544,True,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,True
4.749684,124.9607,982.9569892,17.03765,1.0,25.0,4855.88,11.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False
8.97002875723458,174.04796669059692,1434.9830793414071,13.146695746433076,0.9429730859963806,62.34621949389504,15032.423955372098,12.771892343985522,0.9429730859963806,5.885946171992761,5.0,5.942973085996381,3.0,2.114053828007239,4.885946171992761,5.885946171992761,4.942973085996381,False,False,False,True,True,False,False,True,True,False,False,False,False,True,True,True,True,True
9.28826112871182,161.43069665682387,1590.3318148363387,11.437333601730426,1.3209394427288623,45.16731752316037,45182.985160389406,11.981409164093291,2.0,4.339530278635569,3.3395302786355687,2.679060557271137,2.0,3.6604697213644313,3.0,2.3395302786355687,3.0,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False
62.10686,149.9915,5287.642545,14.52197,0.0,75.0,19408.35,12.0,1.0,4.0,4.0,6.0,3.0,4.0,3.0,3.0,2.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
62.4919,139.965,5863.981501,8.588839,1.0,79.0,24023.55,12.0,2.0,6.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
55.51616,245.147,5546.415428,9.442846,1.0,78.0,128842.9,10.0,2.0,4.0,4.0,5.0,3.0,4.0,6.0,5.0,5.0,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False
63.62938,147.4713,5579.442865,13.123,1.0,61.0,10427.06,9.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
64.49231,117.4392,5885.972229,6.652008,0.0,51.0,95509.68,12.0,1.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True
7.600934,235.1372,1696.720466,7.829908,2.0,57.0,29448.24,14.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False
62.07668,94.97283,5624.996529,5.644966,0.0,71.0,11422.46,18.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
2.577535,139.9568,552.480335,12.30949,1.0,46.0,22922.41,9.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,3.0,4.0,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,True,False
