Day,Revenue
2021-01-01,0.0
2021-01-02,0.000793191
2021-01-03,0.825541786
2021-01-04,0.32033228
2021-01-05,1.082554085
2021-01-06,0.107653784
2021-01-07,0.493901361
2021-01-08,0.376698452
2021-01-09,0.304074848
2021-01-10,0.591747849
2021-01-11,0.731018901
2021-01-12,1.111586215
2021-01-13,0.960902689
2021-01-14,0.964013419
2021-01-15,0.979731886
2021-01-16,1.085546892
2021-01-17,1.262549787
2021-01-18,1.331183307
2021-01-19,1.411429732
2021-01-20,1.709116779
2021-01-21,1.735783527
2021-01-22,1.760959886
2021-01-23,2.558601513
2021-01-24,1.48420495
2021-01-25,2.089944633
2021-01-26,2.840568572
2021-01-27,2.162204307
2021-01-28,3.113269737
2021-01-29,2.746580938
2021-01-30,3.079242819
2021-01-31,2.647838543
2021-02-01,3.118230798
2021-02-02,2.442888497
2021-02-03,3.042407809
2021-02-04,3.012894439
2021-02-05,3.290825745
2021-02-06,3.274029416
2021-02-07,3.586805202
2021-02-08,3.170426377
2021-02-09,3.572077947
2021-02-10,2.693130469
2021-02-11,2.399656142
2021-02-12,2.433776379
2021-02-13,2.593848576
2021-02-14,3.323496491
2021-02-15,2.951387252
2021-02-16,3.216948781
2021-02-17,2.877026963
2021-02-18,3.057523831
2021-02-19,2.858495329
2021-02-20,2.533082553
2021-02-21,3.223959721
2021-02-22,2.973617615
2021-02-23,3.360834071
2021-02-24,2.31040157
2021-02-25,1.843596513
2021-02-26,1.631977575
2021-02-27,1.644604449
2021-02-28,1.497246827
2021-03-01,1.267859555
2021-03-02,1.587253694
2021-03-03,2.131085418
2021-03-04,1.995083459
2021-03-05,2.330776602
2021-03-06,1.742724907
2021-03-07,2.588660848
2021-03-08,1.505169543
2021-03-09,2.226315816
2021-03-10,2.973069578
2021-03-11,2.72388059
2021-03-12,2.964093274
2021-03-13,3.88820192
2021-03-14,3.938590458
2021-03-15,5.138308366
2021-03-16,5.482323172
2021-03-17,6.133334991
2021-03-18,6.366939393
2021-03-19,6.434758029
2021-03-20,6.102308899
2021-03-21,6.236527145
2021-03-22,6.815921859
2021-03-23,7.07286465
2021-03-24,6.274130876
